NS	Entrophy	LT	NUC	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
0.06	0.04	0.02	0.0	
